,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,
,,,LIMIT,LIMIT,LIMIT,,,,,,,,LIMIT,LIMIT,LIMIT,,,,,
,KODE,NAMA SAMPEL,OLWB,OLDB,OIL LOSSES,,,,,,,NAMA PIVOT,OLWB,OLDB,OIL LOSSES,,I,Sopan Sitanggang,,
,JBP,JUS BUNCH PRESS, -, -, -,,,,,,,,,,,,II,Hakim Lumbantoruan,,#REF!
,CD,CONDENSAT, -, -, -,,,,,,,,,,,,,,,#REF!
,COT IN,COT INLET to COT 2,> 45, -, -,,,,,,,,45,,,,,,,#REF!
,COT 2,U/F COT 2,≤ 8, -, -,,,,,,,,8,,,,,,,#REF!
,CST,U/F CST,≤ 6, -, -,,,,,,,,6,,,,,,,#REF!
,FD1,FEED DECANTER ALVA LAFAL 1,≤ 6,  ,"≤ 0,09",,,,,,,FEED 1,6,,0.09,,0.09,,,#REF!
,FD2,FEED DECANTER  IHI 2,≤ 6,  ,"≤ 0,09",,,,,,,FEED 2,6,,0.09,,,,,#REF!
,FD3,FEED DECANTER ALVA LAFAL 2,≤ 6,  ,"≤ 0,09",,,,,,,FEED 3,6,,0.09,,,,,#REF!
,FD4,FEED DECANTER FLOTTWEG,≤ 6,  ,"≤ 0,09",,,,,,,FEED 4,6,,0.09,,,,,#REF!
,HP1,HEAVY PHASE ALFA LAVAL 1,≤ 1, -, -,,,,,,,HEAVY PHASE 1,1,,,,,,,#REF!
,HP2,HEAVY PHASE IHI,≤ 1, -, -,,,,,,,HEAVY PHASE 2,1,,,,,,,#REF!
,HP3,HEAVY PHASE ALFA LAVAL 2,≤ 1, -, -,,,,,,,HEAVY PHASE 3,1,,,,,,,#REF!
,HP4,HEAVY PHASE FLOTTWEG,≤ 1, -, -,,,,,,,HEAVY PHASE 4,1,,,,,,,#REF!
,SD1,SOLID ALFA LAVAL 1,"≤ 2,5", -,"≤ 0,09",0.02,,,,,,SOLID 1,2.5,,0.09,,,,,#REF!
,SD2,SOLID IHI,"≤ 2,5", -,"≤ 0,09",0.02,,,,,,SOLID 2,2.5,,0.09,,,,,#REF!
,SD3,SOLID ALFA LAVAL 2,"≤ 2,5", -,"≤ 0,09",0.02,,,,,,SOLID 3,2.5,,0.09,,,,,#REF!
,SD4,SOLID FLOTTWEG,"≤ 2,5", -,"≤ 0,09",0.02,,,,,,SOLID 4,2.5,,0.09,,,,,#REF!
,HPL1,HEAVY PHASE CENTRIFUGE 1,≤ 1, -, -,,,,,,,CENTRIFUGE 1,1,,,,,,,#REF!
,HPL2,HEAVY PHASE CENTRIFUGE 2,≤ 1, -, -,,,,,,,CENTRIFUGE 2,1,,,,,,,#REF!
